group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,truth,bias_mean,MSE,coverage_prob
1,oracle_ate,500,15,1.29,1.05,0.4141075092183577,0.02485404594342995,-3.2742751691539965e-5,7.246557157148013e-7,NA
1,oracle_cate_m0,500,15,1.29,1.05,0.4141075092183577,0.02469639698867383,-3.4871365252007085e-5,8.443598976767941e-7,NA
1,oracle_cate_m1,500,15,1.29,1.05,0.4141075092183577,0.02507675094539085,-2.3457213298974416e-5,6.139640811429294e-7,NA
1,gComp_ate,500,15,1.29,1.05,0.4141075092183577,0.02485404594342995,-0.0028481873784236052,0.0012295488885833107,0.937
1,gComp_cate_m0,500,15,1.29,1.05,0.4141075092183577,0.02469639698867383,-0.003904729151329041,0.002608867101850496,0.932
1,gComp_cate_m1,500,15,1.29,1.05,0.4141075092183577,0.02507675094539085,-3.037809972934103e-4,0.0022220874274542636,0.947
1,causal_forest_ate,500,15,1.29,1.05,0.4141075092183577,0.02485404594342995,-0.020325654797928226,5.993512039363866e-4,0.997
1,causal_forest_cate_m0,500,15,1.29,1.05,0.4141075092183577,0.02469639698867383,-0.020691430115820263,0.0013256496001668818,0.936
1,causal_forest_cate_m1,500,15,1.29,1.05,0.4141075092183577,0.02507675094539085,-0.020010612566672872,0.002526788286278699,0.995
1,DRLearner_ate,500,15,1.29,1.05,0.4141075092183577,0.02485404594342995,0.0013336942090890643,0.0013177206023069514,0.95
1,DRLearner_cate_m0,500,15,1.29,1.05,0.4141075092183577,0.02469639698867383,-0.00785762064090885,0.0014061924580530056,0.934
1,DRLearner_cate_m1,500,15,1.29,1.05,0.4141075092183577,0.02507675094539085,0.014200849058352302,0.004911813341340554,0.951
2,oracle_ate,500,15,1.29,1.29,0.4141075092183577,0.0146479070730131,-2.1607144636351834e-5,8.661123856499432e-8,NA
2,oracle_cate_m0,500,15,1.29,1.29,0.4141075092183577,0.02501690291546308,-3.519085291262731e-5,8.655420807080588e-7,NA
2,oracle_cate_m1,500,15,1.29,1.29,0.4141075092183577,-1.4688767934048278e-17,1.8026885187500433e-20,1.2545357158021997e-36,NA
2,gComp_ate,500,15,1.29,1.29,0.4141075092183577,0.0146479070730131,-0.006852595439244056,0.00126187079196767,0.929
2,gComp_cate_m0,500,15,1.29,1.29,0.4141075092183577,0.02501690291546308,-0.0038358138087780627,0.002616591431402178,0.933
2,gComp_cate_m1,500,15,1.29,1.29,0.4141075092183577,-1.4688767934048278e-17,-7.249998576671985e-4,0.0021257849521835823,0.945
2,causal_forest_ate,500,15,1.29,1.29,0.4141075092183577,0.0146479070730131,-0.012218203169281593,3.3207528844670286e-4,0.996
2,causal_forest_cate_m0,500,15,1.29,1.29,0.4141075092183577,0.02501690291546308,-0.013360030436772464,0.0011097656919049196,0.96
