method,confounder_number,sample_size,group,avg_rank_sta,avg_rank_est,pct_rank_sta,pct_rank_est,pct_p_value
BLP_causal_forest,5,500,1,3.455,2.747,0.16,0.337,0.06
BLP_dr_learner,5,500,1,3.511,2.791,0.152,0.324,0.058
BLP_causal_forest,5,500,2,3.356,2.69,0.183,0.352,0.087
BLP_dr_learner,5,500,2,3.418,2.716,0.187,0.344,0.068
BLP_causal_forest,5,500,3,3.101,2.438,0.237,0.439,0.133
BLP_dr_learner,5,500,3,3.125,2.478,0.251,0.425,0.121
BLP_causal_forest,5,500,4,3.404,2.718,0.165,0.368,0.06
BLP_dr_learner,5,500,4,3.384,2.706,0.18,0.357,0.061
BLP_causal_forest,5,500,5,3.474,2.751,0.156,0.359,0.07
BLP_dr_learner,5,500,5,3.517,2.795,0.159,0.318,0.062
BLP_causal_forest,5,500,6,3.384,2.731,0.179,0.355,0.084
BLP_dr_learner,5,500,6,3.365,2.698,0.193,0.365,0.071
BLP_causal_forest,5,500,7,3.104,2.449,0.24,0.432,0.113
BLP_dr_learner,5,500,7,3.106,2.444,0.246,0.429,0.123
BLP_causal_forest,5,500,8,3.269,2.596,0.202,0.387,0.075
BLP_dr_learner,5,500,8,3.341,2.629,0.185,0.385,0.073
BLP_causal_forest,5,500,9,3.381,2.694,0.178,0.382,0.058
BLP_dr_learner,5,500,9,3.49,2.788,0.167,0.336,0.055
BLP_causal_forest,5,1000,1,3.46,2.806,0.163,0.333,0.061
BLP_dr_learner,5,1000,1,3.58,2.851,0.142,0.311,0.044
BLP_causal_forest,5,1000,2,3.285,2.618,0.204,0.39,0.095
BLP_dr_learner,5,1000,2,3.411,2.686,0.17,0.358,0.073
BLP_causal_forest,5,1000,3,2.772,2.225,0.339,0.531,0.183
BLP_dr_learner,5,1000,3,2.797,2.225,0.335,0.531,0.182
BLP_causal_forest,5,1000,4,3.372,2.699,0.183,0.355,0.079
BLP_dr_learner,5,1000,4,3.27,2.588,0.207,0.375,0.083
BLP_causal_forest,5,1000,5,3.526,2.808,0.167,0.321,0.053
BLP_dr_learner,5,1000,5,3.509,2.779,0.16,0.317,0.044
BLP_causal_forest,5,1000,6,3.394,2.719,0.188,0.346,0.068
BLP_dr_learner,5,1000,6,3.342,2.678,0.205,0.357,0.081
BLP_causal_forest,5,1000,7,2.8,2.218,0.307,0.524,0.177
BLP_dr_learner,5,1000,7,2.768,2.174,0.334,0.518,0.166
BLP_causal_forest,5,1000,8,3.228,2.589,0.214,0.409,0.097
BLP_dr_learner,5,1000,8,3.368,2.667,0.192,0.372,0.074
BLP_causal_forest,5,1000,9,3.494,2.788,0.171,0.338,0.058
BLP_dr_learner,5,1000,9,3.66,2.949,0.142,0.291,0.045
BLP_causal_forest,10,500,1,5.851,5.03,0.086,0.21,0.063
BLP_dr_learner,10,500,1,5.791,4.881,0.092,0.2,0.052
BLP_causal_forest,10,500,2,5.667,4.847,0.087,0.211,0.077
BLP_dr_learner,10,500,2,5.676,4.772,0.094,0.229,0.062
BLP_causal_forest,10,500,3,5.312,4.482,0.143,0.286,0.121
BLP_dr_learner,10,500,3,5.209,4.382,0.163,0.289,0.113
BLP_causal_forest,10,500,4,5.76,4.944,0.101,0.194,0.081
BLP_dr_learner,10,500,4,5.581,4.682,0.107,0.236,0.064
BLP_causal_forest,10,500,5,5.89,5.12,0.082,0.17,0.059
BLP_dr_learner,10,500,5,5.831,4.941,0.094,0.186,0.044
BLP_causal_forest,10,500,6,5.798,5.025,0.093,0.201,0.068
BLP_dr_learner,10,500,6,5.764,4.845,0.104,0.225,0.056
BLP_causal_forest,10,500,7,5.376,4.628,0.116,0.239,0.096
BLP_dr_learner,10,500,7,5.186,4.308,0.137,0.275,0.096
BLP_causal_forest,10,500,8,5.753,4.883,0.101,0.205,0.074
BLP_dr_learner,10,500,8,5.652,4.77,0.109,0.212,0.05
BLP_causal_forest,10,500,9,5.975,5.164,0.086,0.19,0.056
BLP_dr_learner,10,500,9,5.842,4.892,0.084,0.199,0.041
BLP_causal_forest,10,1000,1,5.953,5.082,0.095,0.2,0.068
BLP_dr_learner,10,1000,1,5.979,5.085,0.085,0.185,0.051
BLP_causal_forest,10,1000,2,5.496,4.777,0.127,0.24,0.094
BLP_dr_learner,10,1000,2,5.596,4.761,0.128,0.226,0.077
BLP_causal_forest,10,1000,3,4.715,4.073,0.195,0.344,0.18
BLP_dr_learner,10,1000,3,4.564,3.759,0.229,0.388,0.185
BLP_causal_forest,10,1000,4,5.875,5.091,0.102,0.209,0.068
BLP_dr_learner,10,1000,4,5.66,4.772,0.123,0.233,0.07
BLP_causal_forest,10,1000,5,5.993,5.148,0.096,0.206,0.061
BLP_dr_learner,10,1000,5,5.96,5.073,0.098,0.194,0.053
BLP_causal_forest,10,1000,6,5.647,4.91,0.108,0.226,0.087
BLP_dr_learner,10,1000,6,5.539,4.683,0.133,0.243,0.076
BLP_causal_forest,10,1000,7,4.929,4.156,0.177,0.31,0.145
BLP_dr_learner,10,1000,7,4.682,3.884,0.203,0.344,0.157
BLP_causal_forest,10,1000,8,5.6,4.829,0.119,0.229,0.095
BLP_dr_learner,10,1000,8,5.685,4.805,0.113,0.22,0.079
BLP_causal_forest,10,1000,9,5.909,5.086,0.085,0.191,0.063
BLP_dr_learner,10,1000,9,6.012,5.087,0.08,0.188,0.049
BLP_causal_forest,15,500,1,8.514,7.593,0.058,0.118,0.057
BLP_dr_learner,15,500,1,8.514,7.572,0.052,0.124,0.044
BLP_causal_forest,15,500,2,8.131,7.299,0.07,0.154,0.07
BLP_dr_learner,15,500,2,8.235,7.267,0.063,0.128,0.049
BLP_causal_forest,15,500,3,7.718,6.992,0.088,0.194,0.114
BLP_dr_learner,15,500,3,7.618,6.707,0.111,0.202,0.103
BLP_causal_forest,15,500,4,8.382,7.521,0.067,0.142,0.073
BLP_dr_learner,15,500,4,8.195,7.25,0.072,0.148,0.06
BLP_causal_forest,15,500,5,8.39,7.573,0.053,0.118,0.053
BLP_dr_learner,15,500,5,8.392,7.383,0.054,0.116,0.043
BLP_causal_forest,15,500,6,8.346,7.506,0.056,0.129,0.067
BLP_dr_learner,15,500,6,8.256,7.3,0.065,0.146,0.056
BLP_causal_forest,15,500,7,7.71,6.971,0.099,0.181,0.106
BLP_dr_learner,15,500,7,7.485,6.53,0.106,0.2,0.101
BLP_causal_forest,15,500,8,8.368,7.554,0.064,0.132,0.065
BLP_dr_learner,15,500,8,8.346,7.449,0.066,0.127,0.068
BLP_causal_forest,15,500,9,8.48,7.666,0.05,0.117,0.058
BLP_dr_learner,15,500,9,8.42,7.44,0.055,0.129,0.045
BLP_causal_forest,15,1000,1,8.388,7.619,0.059,0.132,0.071
BLP_dr_learner,15,1000,1,8.474,7.493,0.064,0.128,0.05
BLP_causal_forest,15,1000,2,7.765,7.077,0.082,0.161,0.097
BLP_dr_learner,15,1000,2,7.866,6.912,0.077,0.176,0.071
BLP_causal_forest,15,1000,3,6.546,5.96,0.154,0.269,0.174
BLP_dr_learner,15,1000,3,6.243,5.41,0.19,0.313,0.178
BLP_causal_forest,15,1000,4,8.433,7.587,0.071,0.135,0.066
BLP_dr_learner,15,1000,4,8.18,7.233,0.082,0.158,0.068
BLP_causal_forest,15,1000,5,8.61,7.802,0.045,0.117,0.065
BLP_dr_learner,15,1000,5,8.506,7.526,0.058,0.128,0.044
BLP_causal_forest,15,1000,6,7.861,6.975,0.069,0.159,0.096
BLP_dr_learner,15,1000,6,7.671,6.727,0.095,0.184,0.09
BLP_causal_forest,15,1000,7,7.322,6.558,0.105,0.199,0.128
BLP_dr_learner,15,1000,7,7.007,6.149,0.131,0.23,0.135
BLP_causal_forest,15,1000,8,8.126,7.323,0.068,0.139,0.086
BLP_dr_learner,15,1000,8,8.3,7.332,0.072,0.148,0.064
BLP_causal_forest,15,1000,9,8.544,7.703,0.05,0.121,0.057
BLP_dr_learner,15,1000,9,8.468,7.494,0.063,0.121,0.042
