group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,oracle_mean,bias_mean,MSE,coverage_prob
1,gComp_ate,10000,10,1.291,1.06,0.4063193069386903,0.024052931738836124,-7.7306486299213e-4,5.379539720567776e-5,0.95
1,gComp_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.024563428967864304,-7.586991775075904e-4,1.0412084313852819e-4,0.954
1,gComp_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.02507740399545769,-1.1306199109687762e-4,1.0768023741361618e-4,0.952
1,causal_forest_ate,10000,10,1.291,1.06,0.4063193069386903,0.024052931738836124,0.03335453377655047,0.0012526816404900144,0.023
1,causal_forest_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.024563428967864304,0.013670180692400875,2.889755931832758e-4,0.598
1,causal_forest_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.02507740399545769,0.06035435295813792,0.0040341849608841705,0.03
1,causal_forest_SL_ate,10000,10,1.291,1.06,0.4063193069386903,0.024052931738836124,-0.024008709742985027,5.812264668748308e-4,0.043
1,causal_forest_SL_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.024563428967864304,-0.02231487770101093,5.366571860031117e-4,0.132
1,causal_forest_SL_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.02507740399545769,-0.028265153697967546,8.959188062903928e-4,0.523
1,DRLearner_ate,10000,10,1.291,1.06,0.4063193069386903,0.024052931738836124,-4.905317391897253e-4,5.71969458354724e-5,0.956
1,DRLearner_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.024563428967864304,-0.007886220618766662,1.2117622249943242e-4,0.82
1,DRLearner_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.02507740399545769,0.008543947914617054,2.9597287550355835e-4,0.91
2,gComp_ate,10000,10,1.291,1.291,0.4063193069386903,0.011775942998139124,-0.0016768783071989997,5.5423935905664756e-5,0.941
2,gComp_cate_m0,10000,10,1.291,1.291,0.4063193069386903,0.025045991333127095,-0.0010915571292121026,1.0748772824638336e-4,0.948
2,gComp_cate_m1,10000,10,1.291,1.291,0.4063193069386903,-1.7105350095343237e-17,4.8507661257607084e-4,1.0396599045126247e-4,0.953
2,causal_forest_ate,10000,10,1.291,1.291,0.4063193069386903,0.011775942998139124,0.03341332528030017,0.0012595738069272264,0.031
2,causal_forest_cate_m0,10000,10,1.291,1.291,0.4063193069386903,0.025045991333127095,0.014334840392580206,3.163401452140855e-4,0.571
2,causal_forest_cate_m1,10000,10,1.291,1.291,0.4063193069386903,-1.7105350095343237e-17,0.053680528721265226,0.003259615353873008,0.074
2,causal_forest_SL_ate,10000,10,1.291,1.291,0.4063193069386903,0.011775942998139124,-0.011957047649745804,1.4769629540767868e-4,0.797
2,causal_forest_SL_cate_m0,10000,10,1.291,1.291,0.4063193069386903,0.025045991333127095,-0.014596394473164543,2.5219309794795596e-4,0.516
2,causal_forest_SL_cate_m1,10000,10,1.291,1.291,0.4063193069386903,-1.7105350095343237e-17,-0.01573044211410511,3.4652314467102055e-4,0.895
2,DRLearner_ate,10000,10,1.291,1.291,0.4063193069386903,0.011775942998139124,-0.0014032311551686522,5.7848039004954864e-5,0.951
2,DRLearner_cate_m0,10000,10,1.291,1.291,0.4063193069386903,0.025045991333127095,-0.007934695976545263,1.2358098867742685e-4,0.81
2,DRLearner_cate_m1,10000,10,1.291,1.291,0.4063193069386903,-1.7105350095343237e-17,5.19811718167153e-4,2.1695487330448596e-4,0.956
3,gComp_ate,10000,10,1.291,1.59,0.4063193069386903,-0.0010839128260978872,-0.0024640224660428837,6.057107341114086e-5,0.93
3,gComp_cate_m0,10000,10,1.291,1.59,0.4063193069386903,0.025501321475171868,-0.0014105371167809609,1.1359209965792646e-4,0.944
3,gComp_cate_m1,10000,10,1.291,1.59,0.4063193069386903,-0.024989115668146815,5.998602893219446e-4,9.849908471232405e-5,0.959
3,causal_forest_ate,10000,10,1.291,1.59,0.4063193069386903,-0.0010839128260978872,0.03361920486412835,0.0012668663774511608,0.03
3,causal_forest_cate_m0,10000,10,1.291,1.59,0.4063193069386903,0.025501321475171868,0.015172833083653064,3.388081173240344e-4,0.543
3,causal_forest_cate_m1,10000,10,1.291,1.59,0.4063193069386903,-0.024989115668146815,0.04563367435608028,0.002443405344880477,0.154
3,causal_forest_SL_ate,10000,10,1.291,1.59,0.4063193069386903,-0.0010839128260978872,5.259458228655641e-4,4.955284706100036e-6,1
3,causal_forest_SL_cate_m0,10000,10,1.291,1.59,0.4063193069386903,0.025501321475171868,-0.006193291876394011,7.750778335228171e-5,0.916
3,causal_forest_SL_cate_m1,10000,10,1.291,1.59,0.4063193069386903,-0.024989115668146815,-0.004617090718029228,1.1872924271283282e-4,0.987
3,DRLearner_ate,10000,10,1.291,1.59,0.4063193069386903,-0.0010839128260978872,-0.0021664867354959693,6.240575072722111e-5,0.945
3,DRLearner_cate_m0,10000,10,1.291,1.59,0.4063193069386903,0.025501321475171868,-0.007950834891151998,1.2717600536690433e-4,0.811
3,DRLearner_cate_m1,10000,10,1.291,1.59,0.4063193069386903,-0.024989115668146815,-0.008669114958254908,2.839709491553412e-4,0.893
4,gComp_ate,10000,10,1,0.825,0.4063193069386903,0.011906816847250111,0.001302038805591606,5.3051773778741945e-5,0.947
4,gComp_cate_m0,10000,10,1,0.825,0.4063193069386903,0,-4.54221734223805e-4,9.974528177021607e-5,0.954
4,gComp_cate_m1,10000,10,1,0.825,0.4063193069386903,0.02496592084433233,-9.174156949457876e-5,1.1107773830571154e-4,0.95
4,causal_forest_ate,10000,10,1,0.825,0.4063193069386903,0.011906816847250111,0.0348798000065187,0.0013596320946867497,0.02
4,causal_forest_cate_m0,10000,10,1,0.825,0.4063193069386903,0,0.019924937608861874,4.976243895807506e-4,0.29
4,causal_forest_cate_m1,10000,10,1,0.825,0.4063193069386903,0.02496592084433233,0.06108817698974861,0.004136044680989441,0.026
4,causal_forest_SL_ate,10000,10,1,0.825,0.4063193069386903,0.011906816847250111,-0.011912519332484318,1.466603249539695e-4,0.806
4,causal_forest_SL_cate_m0,10000,10,1,0.825,0.4063193069386903,0,-0.008278867072337073,1.058638188501906e-4,0.836
4,causal_forest_SL_cate_m1,10000,10,1,0.825,0.4063193069386903,0.02496592084433233,-0.012882243487494898,2.60791049575333e-4,0.949
4,DRLearner_ate,10000,10,1,0.825,0.4063193069386903,0.011906816847250111,0.0015778400101286567,5.720351778346064e-5,0.949
4,DRLearner_cate_m0,10000,10,1,0.825,0.4063193069386903,0,-3.280014807790063e-4,5.5081054683625456e-5,0.953
4,DRLearner_cate_m1,10000,10,1,0.825,0.4063193069386903,0.02496592084433233,0.008709492900920782,2.9751191581637714e-4,0.911
5,gComp_ate,10000,10,1,1,0.4063193069386903,0,-2.2542858002562184e-4,5.235672010187307e-5,0.943
5,gComp_cate_m0,10000,10,1,1,0.4063193069386903,0,-5.70290365165151e-4,1.0418714459604697e-4,0.948
5,gComp_cate_m1,10000,10,1,1,0.4063193069386903,0,-2.5498474086447777e-6,1.0661240267345755e-4,0.949
5,causal_forest_ate,10000,10,1,1,0.4063193069386903,0,0.03418819476220607,0.0013167740801539414,0.021
5,causal_forest_cate_m0,10000,10,1,1,0.4063193069386903,0,0.0208137601486582,5.384697891424662e-4,0.263
5,causal_forest_cate_m1,10000,10,1,1,0.4063193069386903,0,0.05374079586146779,0.003292314222440153,0.069
5,causal_forest_SL_ate,10000,10,1,1,0.4063193069386903,0,-5.14751083881424e-4,5.18182969099551e-6,1
5,causal_forest_SL_cate_m0,10000,10,1,1,0.4063193069386903,0,-4.906069752622599e-4,3.8848125687741774e-5,0.987
5,causal_forest_SL_cate_m1,10000,10,1,1,0.4063193069386903,0,-5.569190227064433e-4,9.528187643834137e-5,0.999
5,DRLearner_ate,10000,10,1,1,0.4063193069386903,0,2.9785823563764284e-5,5.5607500383954566e-5,0.953
5,DRLearner_cate_m0,10000,10,1,1,0.4063193069386903,0,-1.5322838619546942e-4,5.714807746670412e-5,0.949
5,DRLearner_cate_m1,10000,10,1,1,0.4063193069386903,0,2.9316821789389976e-4,2.2119438066555642e-4,0.96
6,gComp_ate,10000,10,1,1.23,0.4063193069386903,-0.012695262338816116,-0.0014683155374468283,5.451234313144218e-5,0.931
6,gComp_cate_m0,10000,10,1,1.23,0.4063193069386903,0,-9.936593780706026e-4,1.0764038391530076e-4,0.949
6,gComp_cate_m1,10000,10,1,1.23,0.4063193069386903,-0.025367184150662924,2.6634744539020936e-4,1.0158855057090829e-4,0.963
6,causal_forest_ate,10000,10,1,1.23,0.4063193069386903,-0.012695262338816116,0.03341017783038838,0.0012431349874111187,0.024
6,causal_forest_cate_m0,10000,10,1,1.23,0.4063193069386903,0,0.02109394435596208,5.387261283245823e-4,0.252
