group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,truth,bias_mean,MSE,coverage_prob
1,oracle_ate,5000,15,1.29,1.05,0.4143377096592528,0.02379796186682681,-3.5147732775650635e-6,6.42137261852004e-8,NA
1,oracle_cate_m0,5000,15,1.29,1.05,0.4143377096592528,0.02469639698867383,-5.5407515036350785e-6,8.251033529842266e-8,NA
1,oracle_cate_m1,5000,15,1.29,1.05,0.4143377096592528,0.02507675094539085,-2.549374075762209e-6,5.5399867927988664e-8,NA
1,gComp_ate,5000,15,1.29,1.05,0.4143377096592528,0.02379796186682681,-2.93699185689115e-4,1.1028601987525286e-4,0.955
1,gComp_cate_m0,5000,15,1.29,1.05,0.4143377096592528,0.02469639698867383,-2.3995713439286184e-4,2.240799211401216e-4,0.954
1,gComp_cate_m1,5000,15,1.29,1.05,0.4143377096592528,0.02507675094539085,1.9230474043154983e-4,2.116995160392865e-4,0.949
1,causal_forest_ate,5000,15,1.29,1.05,0.4143377096592528,0.02379796186682681,0.06885738948287405,0.004879052993412189,0
1,causal_forest_cate_m0,5000,15,1.29,1.05,0.4143377096592528,0.02469639698867383,0.036237229230688256,0.0014544670736032076,0.091
1,causal_forest_cate_m1,5000,15,1.29,1.05,0.4143377096592528,0.02507675094539085,0.11242107244361503,0.013103633060750745,0
1,causal_forest_SL_ate,5000,15,1.29,1.05,0.4143377096592528,0.02379796186682681,-0.023581244225479536,5.721648705102903e-4,0.436
1,causal_forest_SL_cate_m0,5000,15,1.29,1.05,0.4143377096592528,0.02469639698867383,-0.022716645063344972,5.972939378709394e-4,0.427
1,causal_forest_SL_cate_m1,5000,15,1.29,1.05,0.4143377096592528,0.02507675094539085,-0.02735159106559054,9.704848320244985e-4,0.833
1,DRLearner_ate,5000,15,1.29,1.05,0.4143377096592528,0.02379796186682681,2.3945364872524728e-4,1.2476956599105814e-4,0.95
1,DRLearner_cate_m0,5000,15,1.29,1.05,0.4143377096592528,0.02469639698867383,-0.008772539797288599,1.9288263595907163e-4,0.859
1,DRLearner_cate_m1,5000,15,1.29,1.05,0.4143377096592528,0.02507675094539085,0.010428670551631247,6.124745577638005e-4,0.932
2,oracle_ate,5000,15,1.29,1.29,0.4143377096592528,0.01065082777060474,-6.659611858941295e-8,8.388432924037325e-9,NA
2,oracle_cate_m0,5000,15,1.29,1.29,0.4143377096592528,0.02501690291546308,-4.904865405058436e-6,8.378620413304932e-8,NA
2,oracle_cate_m1,5000,15,1.29,1.29,0.4143377096592528,-1.4688767934048278e-17,7.939312083465435e-20,1.188124664585257e-37,NA
2,gComp_ate,5000,15,1.29,1.29,0.4143377096592528,0.01065082777060474,-0.0010216538984683574,1.1063995164441209e-4,0.954
2,gComp_cate_m0,5000,15,1.29,1.29,0.4143377096592528,0.02501690291546308,-2.4634988667081e-4,2.1982856565667746e-4,0.953
2,gComp_cate_m1,5000,15,1.29,1.29,0.4143377096592528,-1.4688767934048278e-17,5.779412159623336e-4,2.096588377060174e-4,0.949
2,causal_forest_ate,5000,15,1.29,1.29,0.4143377096592528,0.01065082777060474,0.06999552542737779,0.005038552460309888,0
2,causal_forest_cate_m0,5000,15,1.29,1.29,0.4143377096592528,0.02501690291546308,0.03823848635324261,0.0016015484904315783,0.074
2,causal_forest_cate_m1,5000,15,1.29,1.29,0.4143377096592528,-1.4688767934048278e-17,0.10523282115664195,0.011540444689542389,0
2,causal_forest_SL_ate,5000,15,1.29,1.29,0.4143377096592528,0.01065082777060474,-0.010955443792885154,1.3517237064255086e-4,0.97
2,causal_forest_SL_cate_m0,5000,15,1.29,1.29,0.4143377096592528,0.02501690291546308,-0.014796688753845759,3.0054958595821966e-4,0.749
2,causal_forest_SL_cate_m1,5000,15,1.29,1.29,0.4143377096592528,-1.4688767934048278e-17,-0.015181929127784329,4.4782807468779083e-4,0.964
2,DRLearner_ate,5000,15,1.29,1.29,0.4143377096592528,0.01065082777060474,-4.638145848948431e-4,1.241659316510562e-4,0.948
2,DRLearner_cate_m0,5000,15,1.29,1.29,0.4143377096592528,0.02501690291546308,-0.008471304496535242,1.8727585455758573e-4,0.871
2,DRLearner_cate_m1,5000,15,1.29,1.29,0.4143377096592528,-1.4688767934048278e-17,0.0012002977177928186,5.045945890297746e-4,0.937
3,oracle_ate,5000,15,1.29,1.6,0.4143377096592528,-0.00289210469878773,3.172778381318182e-6,2.6253374771761378e-8,NA
3,oracle_cate_m0,5000,15,1.29,1.6,0.4143377096592528,0.02528549206232237,-4.3692049334243606e-6,8.47752838888037e-8,NA
3,oracle_cate_m1,5000,15,1.29,1.6,0.4143377096592528,-0.02472669812923489,2.8918297614342232e-6,6.123204803707628e-8,NA
3,gComp_ate,5000,15,1.29,1.6,0.4143377096592528,-0.00289210469878773,-0.0014228545712665058,1.1257652853965467e-4,0.938
3,gComp_cate_m0,5000,15,1.29,1.6,0.4143377096592528,0.02528549206232237,-4.930180882502606e-4,2.258022992470035e-4,0.949
3,gComp_cate_m1,5000,15,1.29,1.6,0.4143377096592528,-0.02472669812923489,0.0011012193684146057,1.99218864717266e-4,0.95
3,causal_forest_ate,5000,15,1.29,1.6,0.4143377096592528,-0.00289210469878773,0.07126716062212383,0.005220345009459371,0
3,causal_forest_cate_m0,5000,15,1.29,1.6,0.4143377096592528,0.02528549206232237,0.03988555086617014,0.0017336972524601092,0.061
3,causal_forest_cate_m1,5000,15,1.29,1.6,0.4143377096592528,-0.02472669812923489,0.09763663320294527,0.009984478485650082,0.004
3,causal_forest_SL_ate,5000,15,1.29,1.6,0.4143377096592528,-0.00289210469878773,0.002055666101905836,1.8840988921287642e-5,1
3,causal_forest_SL_cate_m0,5000,15,1.29,1.6,0.4143377096592528,0.02528549206232237,-0.006465922735504695,1.2379813970251426e-4,0.948
3,causal_forest_SL_cate_m1,5000,15,1.29,1.6,0.4143377096592528,-0.02472669812923489,-0.0038897535707797387,2.1495343757287058e-4,0.996
3,DRLearner_ate,5000,15,1.29,1.6,0.4143377096592528,-0.00289210469878773,-8.419547229364003e-4,1.2325714701934894e-4,0.942
