group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,oracle_mean,bias_mean,MSE,coverage_prob
1,gComp_ate,10000,10,1.291,1.06,0.4063193069386903,0.024772149790830842,-0.0014922829149868501,5.5446422376174974e-5,0.946
1,gComp_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.024563428967864304,-7.586991775075904e-4,1.0412084313852819e-4,0.954
1,gComp_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.02507740399545769,-1.1306199109687762e-4,1.0768023741361618e-4,0.952
1,causal_forest_ate,10000,10,1.291,1.06,0.4063193069386903,0.024772149790830842,-0.02472792779497975,6.162779669922335e-4,0.033
1,causal_forest_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.024563428967864304,-0.02231487770101093,5.366571860031117e-4,0.132
1,causal_forest_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.02507740399545769,-0.028265153697967546,8.959188062903928e-4,0.523
1,DRLearner_ate,10000,10,1.291,1.06,0.4063193069386903,0.024772149790830842,-0.0012097497911844456,5.843730246728288e-5,0.954
1,DRLearner_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.024563428967864304,-0.007886220618766662,1.2117622249943242e-4,0.82
1,DRLearner_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.02507740399545769,0.008543947914617054,2.9597287550355835e-4,0.91
2,gComp_ate,10000,10,1.291,1.291,0.4063193069386903,0.014868848630477398,-0.004769783939537274,7.538044938958266e-5,0.889
2,gComp_cate_m0,10000,10,1.291,1.291,0.4063193069386903,0.025045991333127095,-0.0010915571292121026,1.0748772824638336e-4,0.948
2,gComp_cate_m1,10000,10,1.291,1.291,0.4063193069386903,-1.7105350095343237e-17,4.8507661257607084e-4,1.0396599045126247e-4,0.953
2,causal_forest_ate,10000,10,1.291,1.291,0.4063193069386903,0.014868848630477398,-0.015049953282084078,2.312186476453716e-4,0.565
2,causal_forest_cate_m0,10000,10,1.291,1.291,0.4063193069386903,0.025045991333127095,-0.014596394473164543,2.5219309794795596e-4,0.516
2,causal_forest_cate_m1,10000,10,1.291,1.291,0.4063193069386903,-1.7105350095343237e-17,-0.01573044211410511,3.4652314467102055e-4,0.895
2,DRLearner_ate,10000,10,1.291,1.291,0.4063193069386903,0.014868848630477398,-0.004496136787506926,7.61015607572995e-5,0.901
2,DRLearner_cate_m0,10000,10,1.291,1.291,0.4063193069386903,0.025045991333127095,-0.007934695976545263,1.2358098867742685e-4,0.81
2,DRLearner_cate_m1,10000,10,1.291,1.291,0.4063193069386903,-1.7105350095343237e-17,5.19811718167153e-4,2.1695487330448596e-4,0.956
3,gComp_ate,10000,10,1.291,1.59,0.4063193069386903,0.004985232857198367,-0.008533168149339139,1.2731874172034813e-4,0.762
3,gComp_cate_m0,10000,10,1.291,1.59,0.4063193069386903,0.025501321475171868,-0.0014105371167809609,1.1359209965792646e-4,0.944
3,gComp_cate_m1,10000,10,1.291,1.59,0.4063193069386903,-0.024989115668146815,5.998602893219446e-4,9.849908471232405e-5,0.959
3,causal_forest_ate,10000,10,1.291,1.59,0.4063193069386903,0.004985232857198367,-0.005543199860430691,3.539174938584003e-5,0.992
3,causal_forest_cate_m0,10000,10,1.291,1.59,0.4063193069386903,0.025501321475171868,-0.006193291876394011,7.750778335228171e-5,0.916
3,causal_forest_cate_m1,10000,10,1.291,1.59,0.4063193069386903,-0.024989115668146815,-0.004617090718029228,1.1872924271283282e-4,0.987
3,DRLearner_ate,10000,10,1.291,1.59,0.4063193069386903,0.004985232857198367,-0.008235632418792225,1.2552863964679042e-4,0.787
3,DRLearner_cate_m0,10000,10,1.291,1.59,0.4063193069386903,0.025501321475171868,-0.007950834891151998,1.2717600536690433e-4,0.811
3,DRLearner_cate_m1,10000,10,1.291,1.59,0.4063193069386903,-0.024989115668146815,-0.008669114958254908,2.839709491553412e-4,0.893
4,gComp_ate,10000,10,1,0.825,0.4063193069386903,0.010144477764801993,0.0030643778880397234,6.0753140073667894e-5,0.93
4,gComp_cate_m0,10000,10,1,0.825,0.4063193069386903,0,-4.54221734223805e-4,9.974528177021607e-5,0.954
4,gComp_cate_m1,10000,10,1,0.825,0.4063193069386903,0.02496592084433233,-9.174156949457876e-5,1.1107773830571154e-4,0.95
4,causal_forest_ate,10000,10,1,0.825,0.4063193069386903,0.010144477764801993,-0.0101501802500362,1.0778254778927526e-4,0.909
4,causal_forest_cate_m0,10000,10,1,0.825,0.4063193069386903,0,-0.008278867072337073,1.058638188501906e-4,0.836
4,causal_forest_cate_m1,10000,10,1,0.825,0.4063193069386903,0.02496592084433233,-0.012882243487494898,2.60791049575333e-4,0.949
4,DRLearner_ate,10000,10,1,0.825,0.4063193069386903,0.010144477764801993,0.0033401790925767743,6.588248927284859e-5,0.932
4,DRLearner_cate_m0,10000,10,1,0.825,0.4063193069386903,0,-3.280014807790063e-4,5.5081054683625456e-5,0.953
4,DRLearner_cate_m1,10000,10,1,0.825,0.4063193069386903,0.02496592084433233,0.008709492900920782,2.9751191581637714e-4,0.911
